year,Sweden,United Kingdom,United States,India,Japan,South Korea
1800,4.07,4.97,7.03,,4.08,
1801,4.26,4.6,,,,
1802,4.5,5.3,,,,
1803,4.45,5.61,,,,
1804,4.52,5.65,,,,
1805,4.5,5.55,,,,
1806,4.36,5.49,,,,
1807,4.42,5.45,,,,
1808,4.31,5.4,,,,
1809,3.78,5.24,,,,
1810,4.67,5.36,,,,
1811,5.01,5.43,,,,
1812,4.76,5.31,,,4.43,
1813,4.22,5.45,,,,
1814,4.42,5.46,,,,
1815,4.93,6.02,,,,
1816,5.01,5.73,,,,
1817,4.74,5.69,,,,
1818,4.8,5.54,,,,
1819,4.68,5.45,,,,
1820,4.68,5.4,6.59,,,
1821,5.03,5.55,,,,
1822,5.09,5.69,,,,
1823,5.22,5.54,,,,
1824,4.9,5.42,,,,
1825,5.18,5.38,,,,
1826,4.94,5.36,,,,
1827,4.44,5.07,,,,
1828,4.77,5.23,,,,
1829,4.94,4.85,,,,
1830,4.67,4.83,,,,
1831,4.32,4.78,,,,
1832,4.38,4.78,,,,
1833,4.84,5,,,,
1834,4.78,4.89,,,,
1835,4.63,4.83,,,,
1836,4.52,4.86,,,,
1837,4.37,4.79,,,,
1838,4.17,4.78,,,4.54,
1839,4.18,4.93,,,,
1840,4.46,4.9,6.18,,,
1841,4.3,4.89,,,,
1842,4.49,4.83,,,,
1843,4.36,4.82,,,,
1844,4.56,4.83,,,,
1845,4.46,4.75,,,,
1846,4.25,4.9,,,,
1847,4.2,4.58,,,,
1848,4.3,4.71,,,,
1849,4.66,4.78,,,,
1850,4.45,4.85,,,,
1851,4.36,4.94,,,,
1852,4.2,4.94,,,,
1853,4.26,4.78,,,,
1854,4.53,4.89,,,,
1855,4.3,4.85,,,,
1856,4.23,4.94,,,,
1857,4.36,4.9,,,,
1858,4.66,4.79,,,,
1859,4.71,4.97,,,,
1860,4.71,4.86,5.28,,,
1861,4.44,4.88,,,,
1862,4.59,4.92,,,,
1863,4.65,4.94,,,4.84,
1864,4.69,4.96,,,,
1865,4.58,4.94,,,,
1866,4.68,4.92,,,,
1867,4.4,4.94,,,,
1868,3.93,4.97,,,,
1869,4.03,4.82,,,,
1870,4.11,4.88,,,,
1871,4.37,4.85,,,,
1872,4.34,,,,,
1873,4.49,4.94,,,3.41,
1874,4.54,,,,3.52,
1875,4.6,,,,3.74,
1876,4.57,,,,3.75,
1877,4.62,,,,3.67,
1878,4.44,4.88,,,3.58,
1879,4.56,,,,3.55,
1880,4.36,,4.75,5.95,3.59,
1881,4.29,,,,3.77,
1882,4.32,,,,3.67,
1883,4.24,4.55,,,3.96,
1884,4.4,,,,3.8,
1885,4.34,,,,3.98,
1886,4.39,,,5.76,4.04,
1887,4.36,,,,4.04,
1888,4.24,4.16,,,4.43,
1889,4.1,,,,4.54,
1890,4.15,,,,4.18,
1891,4.14,,,,3.99,
1892,3.93,,,,4.4,
1893,3.98,3.9,,,4.26,
1894,3.94,,,,4.35,
1895,4.01,,,,4.36,
1896,3.98,,,5.73,4.51,
1897,3.92,,,,4.66,
1898,3.99,3.62,,,4.72,
1899,3.9,,,,4.73,
1900,4,,3.85,,4.69,6
1901,4,,,,5.01,
1902,3.91,,,,4.97,
1903,3.78,3.4,3.83,,4.83,
1904,3.77,,,,4.61,
1905,3.74,,,,4.52,
1906,3.73,,,5.72,4.38,
1907,3.7,,,,5.03,
1908,3.7,3.14,3.63,,5.13,
1909,3.69,,3.58,,5.16,
1910,3.55,,3.59,,5.01,
1911,3.45,2.92,3.57,,5.19,
1912,3.39,2.9,3.56,,5.08,
1913,3.27,2.93,3.45,,5.07,
1914,3.2,2.88,3.57,,5.14,
1915,3.01,2.59,3.52,,4.91,
1916,2.93,2.6,3.47,5.7,4.98,
1917,2.88,2.1,3.33,,4.95,
1918,2.78,2.03,3.31,,4.83,5.92
1919,2.69,2.31,3.07,,4.77,
1920,3.19,3.08,3.26,,5.35,
1921,2.9,2.69,3.33,,5.22,
1922,2.63,2.44,3.11,,5.12,
1923,2.52,2.38,3.1,,5.26,5.97
1924,2.4,2.28,3.12,,5.07,
1925,2.3,2.2,3.01,,5.22,
1926,2.18,2.15,2.9,5.81,5.19,
1927,2.07,2.01,2.82,,5,
1928,2.05,2.01,2.66,,5.09,5.87
1929,1.92,1.95,2.53,,4.87,
1930,1.93,1.95,2.53,,4.82,
1931,1.85,1.89,2.4,,4.76,
1932,1.8,1.83,2.32,,4.86,
1933,1.69,1.72,2.01,,4.63,6.02
1934,1.68,1.76,2.07,,4.39,
1935,1.68,1.75,2.04,,4.59,
1936,1.73,1.77,2.01,5.93,4.34,
1937,1.74,1.79,2.04,,4.45,
1938,1.8,1.84,2.09,,3.88,6.18
1939,1.86,1.84,2.05,,3.8,
1940,1.82,1.74,2.11,,4.14,
1941,1.89,1.72,2.23,,4.36,
1942,2.16,1.93,2.47,,4.18,
1943,2.38,2.03,2.57,,4.11,6.08
1944,2.56,2.25,2.44,,3.95,
1945,2.59,2.05,2.38,,3.11,
1946,2.55,2.47,2.83,5.91,3.37,
1947,2.49,2.7,3.16,,4.51,
1948,2.46,2.39,3.01,,4.38,5.59
1949,2.37,2.26,3.02,,4.3,
1950,2.28,2.08,3.02,5.89,3.51,4.02
1951,2.21,2.1,3.2,5.89,3.37,4.33
1952,2.24,2.15,3.3,5.9,3.1,4.89
1953,2.27,2.2,3.37,5.91,2.86,5.35
1954,2.2,2.26,3.49,5.91,2.65,5.73
1955,2.27,2.33,3.54,5.91,2.47,6.01
1956,2.31,2.4,3.65,5.91,2.32,6.2
1957,2.3,2.48,3.74,5.9,2.2,6.31
1958,2.28,2.55,3.69,5.89,2.11,6.33
1959,2.26,2.63,3.69,5.88,2.04,6.27
1960,2.2,2.69,3.67,5.87,2,6.16
1961,2.23,2.75,3.63,5.86,1.98,5.99
1962,2.26,2.79,3.48,5.84,1.97,5.79
1963,2.33,2.8,3.35,5.83,1.97,5.57
1964,2.48,2.79,3.22,5.81,1.97,5.36
1965,2.41,2.76,2.93,5.78,1.98,5.16
1966,2.36,2.7,2.71,5.75,2,4.99
1967,2.27,2.61,2.56,5.7,2.02,4.85
1968,2.07,2.52,2.47,5.64,2.05,4.73
1969,1.92,2.41,2.46,5.57,2.08,4.62
1970,1.92,2.29,2.46,5.49,2.1,4.53
1971,1.96,2.18,2.27,5.41,2.11,4.41
1972,1.91,2.07,2.01,5.32,2.11,4.27
1973,1.87,1.98,1.87,5.24,2.09,4.09
1974,1.88,1.89,1.83,5.16,2.05,3.87
1975,1.77,1.83,1.77,5.08,2,3.62
1976,1.68,1.78,1.74,5,1.94,3.36
1977,1.65,1.74,1.78,4.92,1.89,3.11
1978,1.6,1.73,1.75,4.84,1.84,2.88
1979,1.66,1.72,1.8,4.76,1.8,2.69
1980,1.68,1.73,1.82,4.68,1.78,2.52
1981,1.64,1.74,1.81,4.6,1.76,2.38
1982,1.63,1.76,1.81,4.52,1.75,2.24
1983,1.61,1.78,1.78,4.44,1.74,2.11
1984,1.66,1.8,1.79,4.36,1.73,1.98
1985,1.74,1.81,1.84,4.28,1.72,1.86
1986,1.8,1.82,1.84,4.2,1.7,1.75
1987,1.84,1.83,1.87,4.13,1.67,1.67
1988,1.97,1.83,1.92,4.04,1.64,1.63
1989,2.02,1.82,2,3.96,1.61,1.61
1990,2.14,1.81,2.07,3.88,1.57,1.61
1991,2.11,1.8,2.06,3.79,1.54,1.63
1992,2.08,1.79,2.04,3.71,1.5,1.65
1993,1.98,1.78,2.02,3.63,1.47,1.66
1994,1.88,1.77,2,3.55,1.44,1.65
1995,1.73,1.76,1.98,3.47,1.41,1.63
1996,1.6,1.74,1.98,3.4,1.39,1.59
1997,1.53,1.73,1.97,3.33,1.37,1.54
1998,1.52,1.71,2,3.27,1.35,1.48
1999,1.51,1.69,2.01,3.21,1.34,1.41
2000,1.56,1.68,2.05,3.15,1.32,1.35
2001,1.58,1.67,2.03,3.08,1.31,1.3
2002,1.67,1.67,2.02,3.02,1.3,1.25
2003,1.73,1.69,2.05,2.95,1.3,1.22
2004,1.77,1.72,2.06,2.88,1.3,1.2
2005,1.79,1.76,2.06,2.82,1.31,1.2
2006,1.87,1.8,2.11,2.75,1.32,1.2
2007,1.89,1.84,2.12,2.69,1.33,1.21
2008,1.92,1.87,2.07,2.64,1.34,1.23
2009,1.94,1.89,2,2.6,1.36,1.25
2010,1.99,1.9,1.93,2.56,1.37,1.27
2011,1.9,1.9,1.9,2.53,1.39,1.29
2012,1.91,1.9,1.9,2.51,1.41,1.3
