year,Energy for Freight Transport
1302,1938.8
1303,2058.9
1304,2075.8
1305,2055.4
1306,2063.9
1307,1787.9
1308,1644.2
1309,1623.5
1310,1615.7
1311,1621.8
1312,1547.4
1313,1417.6
1314,1253.7
1315,1136.7
1316,1092.7
1317,1032.2
1318,981.1
1319,906.8
1320,863.5
1321,808.4
1322,901.2
1323,1108.2
1324,2009.3
1325,2224.4
1326,2306.0
1327,2279.9
1328,2264.9
1329,1806.2
1330,1769.4
1331,1853.8
1332,2039.5
1333,2027.3
1334,1737.9
1335,1521.3
1336,1230.2
1337,1113.3
1338,1578.2
1339,1702.7
1340,1931.0
1341,2106.5
1342,2147.5
1343,1828.6
1344,1777.9
1345,1687.3
1346,1660.9
1347,1636.6
1348,1430.4
1349,1288.1
1350,1323.6
1351,1424.5
1352,1383.6
1353,1380.9
1354,1530.9
1355,1531.6
1356,1392.4
1357,1379.9
1358,1385.5
1359,1370.9
1360,1341.1
1361,1346.1
1362,1273.2
1363,1291.1
1364,1272.7
1365,1287.7
1366,1341.1
1367,1297.4
1368,1192.3
1369,1044.6
1370,984.5
1371,1085.7
1372,1189.7
1373,1445.1
1374,1616.6
1375,1745.3
1376,1871.1
1377,1868.6
1378,1742.2
1379,1854.8
1380,1868.8
1381,1763.9
1382,1767.1
1383,1774.6
1384,1621.1
1385,1579.1
1386,1507.4
1387,1534.8
1388,1470.5
1389,1518.8
1390,1465.4
1391,1460.0
1392,1482.7
1393,1583.3
1394,1540.9
1395,1633.6
1396,1576.3
1397,1627.5
1398,1579.0
1399,1607.2
1400,1544.4
1401,1620.9
1402,1461.0
1403,1601.0
1404,1614.0
1405,1667.9
1406,1674.3
1407,1797.2
1408,1675.2
1409,1635.4
1410,1577.8
1411,1576.7
1412,1528.6
1413,1528.5
1414,1496.6
1415,1526.0
1416,1417.7
1417,1583.7
1418,1579.1
1419,1612.3
1420,1665.4
1421,1846.7
1422,1727.9
1423,1804.0
1424,1891.0
1425,1840.2
1426,1716.3
1427,1712.3
1428,1634.0
1429,1627.0
1430,1630.0
1431,1677.7
1432,1676.0
1433,1685.6
1434,1608.7
1435,1564.9
1436,1494.2
1437,1467.7
1438,1471.6
1439,1469.7
1440,1554.6
1441,1653.2
1442,1868.2
1443,1847.0
1444,1915.4
1445,1921.7
1446,1894.0
1447,1711.6
1448,1717.8
1449,1721.3
1450,1765.0
1451,1802.1
1452,1787.6
1453,1888.2
1454,1888.5
1455,1795.2
1456,1747.0
1457,1706.0
1458,1747.7
1459,1669.5
1460,1698.3
1461,1634.5
1462,1604.2
1463,1596.5
1464,1591.8
1465,1555.0
1466,1738.3
1467,1855.3
1468,1826.4
1469,1823.5
1470,1761.9
1471,1625.9
1472,1528.6
1473,1411.0
1474,1493.0
1475,1521.1
1476,1656.5
1477,1858.9
1478,1814.7
1479,1679.0
1480,1640.9
1481,1460.9
1482,1229.7
1483,1241.7
1484,1216.3
1485,1140.8
1486,1061.3
1487,1111.1
1488,1174.9
1489,1310.1
1490,1389.8
1491,1472.7
1492,1477.8
1493,1485.3
1494,1599.9
1495,1745.9
1496,1874.1
1497,2007.6
1498,1979.0
1499,1770.9
1500,1646.4
1501,1545.7
1502,1470.6
1503,1552.8
1504,1590.5
1505,1594.9
1506,1615.4
1507,1553.6
1508,1533.5
1509,1607.1
1510,1612.7
1511,1592.7
1512,1631.6
1513,1693.6
1514,1635.1
1515,1661.6
1516,1792.7
1517,1793.6
1518,1741.2
1519,1726.0
1520,1678.1
1521,1552.3
1522,1547.9
1523,1499.3
1524,1528.0
1525,1507.5
1526,1532.5
1527,1443.7
1528,1416.0
1529,1406.3
1530,1489.3
1531,1430.5
1532,1536.2
1533,1524.0
1534,1553.7
1535,1601.7
1536,1572.1
1537,1525.8
1538,1583.2
1539,1617.4
1540,1600.0
1541,1700.0
1542,1709.6
1543,1643.8
1544,1575.5
1545,1520.9
1546,1457.2
1547,1475.7
1548,1526.4
1549,1645.2
1550,1701.1
1551,1856.6
1552,1833.3
1553,1910.7
1554,1872.7
1555,1963.1
1556,1907.0
1557,1862.9
1558,1808.9
1559,1832.2
1560,1740.6
1561,1828.2
1562,2041.1
1563,2057.0
1564,2104.0
1565,2291.0
1566,2354.7
1567,2388.9
1568,2413.2
1569,2346.9
1570,2144.5
1571,1928.7
1572,1776.6
1573,1891.9
1574,1896.0
1575,1966.8
1576,2118.6
1577,2159.6
1578,2131.1
1579,2118.4
1580,2157.3
1581,2191.7
1582,2394.0
1583,2221.8
1584,2069.0
1585,2119.3
1586,1995.4
1587,1683.3
1588,1971.0
1589,2284.0
1590,2213.0
1591,2374.4
1592,2381.6
1593,2188.8
1594,1982.1
1595,1871.0
1596,1651.0
1597,1695.7
1598,1811.3
1599,2054.1
1600,2267.2
1601,2432.5
1602,2549.0
1603,2626.9
1604,2518.2
1605,2434.6
1606,2463.1
1607,2577.2
1608,2505.7
1609,2462.8
1610,2477.3
1611,2395.3
1612,2252.3
1613,2295.2
1614,2430.2
1615,2421.5
1616,2520.3
1617,2598.8
1618,2659.2
1619,2605.3
1620,2611.3
1621,2578.4
1622,2490.9
1623,2277.1
1624,2259.3
1625,2260.8
1626,2209.9
1627,2207.1
1628,2264.5
1629,2181.9
1630,2056.9
1631,2037.6
1632,2183.6
1633,2429.8
1634,2541.8
1635,2803.7
1636,2913.1
1637,2825.1
1638,2599.1
1639,2597.1
1640,2564.5
1641,2733.8
1642,2744.8
1643,2714.5
1644,2621.3
1645,2420.5
1646,2176.5
1647,2207.5
1648,2459.7
1649,2540.8
1650,2737.3
1651,3026.7
1652,3128.3
1653,2887.0
1654,2885.3
1655,2738.8
1656,2411.6
1657,2241.0
1658,2240.4
1659,2099.2
1660,2124.9
1661,2317.5
1662,2354.0
1663,2477.7
1664,2728.1
1665,2762.1
1666,2556.0
1667,2519.4
1668,2323.8
1669,2255.9
1670,2286.3
1671,2358.9
1672,2332.9
1673,2420.0
1674,2427.7
1675,2413.6
1676,2324.3
1677,2314.5
1678,2379.9
1679,2387.9
1680,2362.1
1681,2442.9
1682,2521.9
1683,2592.0
1684,2537.3
1685,2615.2
1686,2611.2
1687,2592.7
1688,2492.0
1689,2483.6
1690,2384.6
1691,2292.3
1692,2226.2
1693,2148.1
1694,2138.5
1695,2115.8
1696,2205.5
1697,2325.4
1698,2449.1
1699,2523.1
1700,2675.3
1701,2758.2
1702,2673.3
1703,2609.8
1704,2594.6
1705,2572.2
1706,2429.2
1707,2314.0
1708,2197.9
1709,2086.9
1710,1976.2
1711,2094.9
1712,2311.8
1713,2404.7
1714,2573.3
1715,2607.7
1716,2636.3
1717,2653.6
1718,2792.8
1719,2699.6
1720,2624.1
1721,2517.3
1722,2483.4
1723,2359.0
1724,2322.2
1725,2341.8
1726,2373.3
1727,2349.4
1728,2304.3
1729,2443.6
1730,2763.7
1731,2892.0
1732,2843.6
1733,2859.2
1734,2725.2
1735,2549.3
1736,2532.4
1737,2527.4
1738,2737.7
1739,2871.6
1740,3117.2
1741,3130.7
1742,3236.9
1743,3053.8
1744,2908.0
1745,2559.6
1746,2377.8
1747,2305.0
1748,2399.1
1749,2414.8
1750,2422.2
1751,2580.8
1752,2819.7
1753,2785.1
1754,2688.7
1755,2715.8
1756,2739.1
1757,2573.4
1758,2620.7
1759,2819.8
1760,2885.7
1761,2884.0
1762,2877.8
1763,2809.5
1764,2794.5
1765,2639.0
1766,2453.0
1767,2370.2
1768,2331.2
1769,2242.4
1770,2401.7
1771,2614.1
1772,2657.5
1773,2687.3
1774,2910.3
1775,2978.5
1776,2892.1
1777,2895.1
1778,2960.2
1779,2830.6
1780,2766.4
1781,2880.3
1782,3100.9
1783,3328.4
1784,3550.1
1785,3571.9
1786,3538.8
1787,3477.7
1788,3237.3
1789,2975.5
1790,3048.2
1791,3130.3
1792,3142.7
1793,3187.7
1794,3340.4
1795,3319.9
1796,3095.1
1797,2952.4
1798,2894.7
1799,2743.7
1800,2691.3
1801,2911.6
1802,2981.5
1803,2913.3
1804,2878.3
1805,2852.9
1806,2770.2
1807,2697.9
1808,2823.0
1809,3070.2
1810,3030.4
1811,2864.6
1812,2835.6
1813,2852.3
1814,2638.7
1815,2592.2
1816,2787.5
1817,2993.8
1818,2876.5
1819,2793.1
1820,2841.0
1821,2848.0
1822,2915.7
1823,3077.8
1824,3320.8
1825,3589.4
1826,3561.1
1827,3259.3
1828,3085.4
1829,2914.2
1830,2737.5
1831,2632.6
1832,2763.3
1833,2926.8
1834,3012.9
1835,2981.9
1836,3118.2
1837,3064.9
1838,2890.7
1839,2852.2
1840,2766.4
1841,2655.9
1842,2599.8
1843,2752.4
1844,2641.2
1845,2499.5
1846,2365.8
1847,2252.2
1848,1991.9
1849,2029.0
1850,2014.5
1851,2060.3
1852,2109.2
1853,2175.0
1854,2119.2
1855,2113.6
1856,2039.7
1857,2022.7
1858,2133.5
1859,2214.4
1860,2252.3
1861,2217.2
1862,2150.0
1863,2082.8
1864,1972.6
1865,1958.6
1866,2016.0
1867,2230.0
1868,2178.6
1869,2378.0
1870,2324.9
1871,2198.9
1872,1843.9
1873,1631.9
1874,1501.5
1875,1644.0
1876,1783.6
1877,1954.1
1878,2120.6
1879,2063.3
1880,2120.5
1881,2065.9
1882,2075.1
1883,2053.1
1884,2055.7
1885,1980.8
1886,2165.4
1887,2238.2
1888,2205.2
1889,2115.7
1890,2135.7
1891,2279.0
1892,2462.8
1893,2543.8
1894,2607.9
1895,2561.0
1896,2266.0
1897,1976.0
1898,1927.4
1899,1981.8
1900,2061.7
1901,2083.6
1902,2104.8
1903,2115.1
1904,2021.0
1905,1870.9
1906,1765.2
1907,1701.4
1908,1620.6
1909,1646.0
1910,1717.9
1911,1783.6
1912,1743.1
1913,1710.6
1914,1629.8
1915,1527.9
1916,1458.0
1917,1458.7
1918,1495.0
1919,1478.7
1920,1418.9
1921,1354.0
1922,1313.8
1923,1228.0
1924,1141.4
1925,1082.9
1926,1022.5
1927,957.2
1928,883.8
1929,828.5
1930,810.5
1931,785.3
1932,763.7
1933,771.4
1934,780.6
1935,743.8
1936,721.0
1937,683.4
1938,664.6
1939,637.8
1940,621.2
1941,603.0
1942,596.9
1943,559.5
1944,528.6
1945,497.6
1946,465.1
1947,438.7
1948,457.9
1949,495.6
1950,551.8
1951,624.1
1952,697.2
1953,734.4
1954,753.7
1955,806.6
1956,800.8
1957,795.6
1958,795.6
1959,788.1
1960,735.3
1961,732.1
1962,724.4
1963,723.6
1964,728.9
1965,736.0
1966,742.0
1967,763.2
1968,766.8
1969,767.0
1970,755.8
1971,735.0
1972,708.4
1973,705.0
1974,701.4
1975,712.0
1976,733.0
1977,729.6
1978,746.8
1979,770.6
1980,793.2
1981,822.1
1982,857.5
1983,862.6
1984,866.0
1985,830.9
1986,780.5
1987,733.1
1988,685.6
1989,646.9
1990,634.1
1991,640.8
1992,665.4
1993,685.8
1994,705.8
1995,737.5
1996,758.1
1997,768.3
1998,804.9
1999,842.2
2000,853.9
2001,866.7
2002,878.9
2003,871.6
2004,871.4
2005,879.2
2006,913.4
