Entity,Year,Total number of deaths from heart diseases,Total number of deaths from cancers,Total number of deaths from chronic respiratory diseases,Total number of deaths from digestive diseases,Total number of deaths from diabetes and kidney diseases,Total number of deaths from neurological disorders,Total number of deaths from other non-communicable diseases,Total number of deaths from pneumonia,Total number of deaths from diarrheal diseases,Total number of deaths from tuberculosis,Total number of deaths from HIV/AIDS,Total number of deaths from malaria,Total number of deaths from neonatal disorders,Total number of deaths from maternal disorders,Total number of deaths from nutritional deficiencies,Total number of deaths from transport injuries,Total number of deaths from other injuries,Total number of deaths from suicide,Total number of deaths from other infectious diseases,Total number of deaths from interpersonal violence
Brazil,1980,225119,84276.28,24175.373,32826.484,30313.814,14247.414,25870.602,66464.125,106008.586,11367.699,1415.2994,1406.6694,80926.086,5903.4805,18961.504,35697.133,28480.033,7713.1157,36117.72,26214.604
Brazil,1981,215109.4,81826.06,23648.324,31093.025,29815.28,14298.492,25370.299,62466.227,97327.77,10304.821,1385.8169,1268.0616,77564.445,6347.8584,17612.406,33554.168,26960.701,7526.5913,33106.75,25712.617
Brazil,1982,215149.47,83263.805,24150.309,31245.895,30179.256,14713.989,25311.188,59859.484,91223.28,9548.805,1446.0001,1418.3046,74908.875,5349.478,16748.111,33268.953,26644.816,7388.699,31080.477,26235.629
Brazil,1983,229243.31,88379.5,26119.078,33400.133,31871.432,15905.249,26205.83,59727.402,88639.016,9364.216,1577.5336,1888.2019,73708.18,3653.8052,17680.84,34620.297,28390.29,7887.11,30728.031,28297.629
Brazil,1984,240838.81,92565.805,28358.021,35235.895,33427.86,17034.525,26972.879,60278.62,85629.03,9249.692,1738.5315,1997.0656,72318.53,5085.1387,18035.836,36733.066,29440.266,8083.122,30379.73,30757.883
Brazil,1985,244670.4,95312.18,29591.219,36100.188,34543.258,17818.18,27138.82,58596.246,77401.53,8903.778,1972.0028,1949.5912,68006.72,4206.6475,17123.896,39279.184,29693.24,8180.7695,28774.627,31887.277
Brazil,1986,245079.36,97576.79,30807.56,37062.293,35428.855,18730.197,27684.154,58149.92,72374.734,8690.624,2355.9055,2128.2498,66312.59,4375.075,16647.457,42224.95,29752.445,8432.317,27730.746,33719.75
Brazil,1987,248345.16,100513.875,31550.006,37800.703,36294.457,19597.988,28150.627,57284.07,66450.56,8534.104,2917.4297,2120.8381,65569.266,3900.8699,16355.441,42194.13,29854.758,8527.475,26577.848,35099.746
Brazil,1988,258724.45,104979.55,33783.207,38999.6,37972.188,20915.762,28744.516,58071.6,59918.62,8574.18,3821.2026,2008.4839,63821.062,4862.8706,15942.142,42422.88,30613.229,8567.302,25865.39,36309.984
Brazil,1989,256475.64,107758.88,34012.363,38959.293,38848.848,21403.223,28863.943,55425.605,51484.785,8400.355,5162.8794,1937.089,59888.824,3631.6843,14749.71,42464.51,30647.217,8376.209,24962.926,39056.984
Brazil,1990,254332.8,110275.84,35818.113,38636.668,40385.742,22399.03,28967.203,53880.19,43942.07,8156.0615,6801.6724,2912.5923,56391.53,3641.66,13605.524,40559.523,30327.693,8053.8496,23954.637,40191.492
Brazil,1991,249418.9,112680.93,36116.996,39029.04,41197.46,23045.12,29210.148,51104.746,38853.953,8052.375,8727.158,2687.7378,54189.586,3418.6716,12747.466,39662.652,30427.223,8340.489,22962.6,39946.777
Brazil,1992,256684.72,118163.016,38560.445,40549.71,43214.207,24268.828,30150.96,52799.242,36622.55,8151.885,10799.145,2693.0369,55014.305,3156.6792,12903.41,39009.535,30614.354,8689.688,22681.512,39604.07
Brazil,1993,269924.4,123826.445,42753.73,42863.9,46129.582,25960.291,31746.04,56487.008,36022.6,8571.323,13072.115,2437.5693,56845.09,3162.37,13142.731,40390.35,31043.83,9167.957,23029.684,41824.35
Brazil,1994,270585.75,126540.54,44383.58,43545.492,47550.797,26828.248,32580.55,56773.57,32929.57,8689.382,14958.159,2398.5625,57001.395,3384.2534,12661.922,41896.15,31712.297,9448.924,22924.21,43272.81
Brazil,1995,269914.6,128707.41,47206.004,44224.156,49098.555,27887.225,33302.633,55008.555,27806.652,8590.138,16314.544,2249.7021,55105.406,2833.8188,11830.547,43916.094,32831.473,9546.871,22581.945,45424.824
Brazil,1996,274157.16,131202.55,51729.3,45818.24,51707.79,29299.984,34553.14,52018.14,23034.812,8328.805,16407.29,1697.3174,53011.395,2069.2295,11429.93,45529.812,33203.195,9456.328,21914.096,46875.594
Brazil,1997,274695.4,134966.78,53152.95,46107.82,52977.293,30481.947,35551.715,48764.832,20139.387,8348.766,15357.479,1327.6941,51655.45,2261.338,11508.471,44349.426,32872.594,9489.001,21052.31,48546.824
Brazil,1998,281329.66,140448.8,56277,47194.465,55087.016,32190.57,36932.957,48602.38,19210.889,8429.368,14575.565,1405.3246,51375.906,2387.0942,11711.266,41364.008,32711.357,9714.874,20387.297,51052.44
Brazil,1999,284584.56,145852.48,56602.633,48686.26,58143.36,33533.266,38520.875,47263.992,17030.662,8346.084,14215.373,1686.1854,50857.953,2311.7815,11468.765,40502.625,32850.61,9539.542,19364.184,51844.68
Brazil,2000,285250.53,150754.34,55586.004,50030.04,61337.684,35068.594,40362.89,46294.406,14552.617,7935.366,14137.595,1736.8112,49855.383,2095.748,10957.438,39878.004,32383.018,9679.92,18231.412,54116.254
Brazil,2001,288692.47,156297.92,56122.87,51592.113,62970.21,36963.266,41997.62,46566.285,13177.57,7680.649,14300.282,897.1395,48136.793,2029.0553,10910.692,40170.168,32075.148,10130.761,17499.99,56657.32
Brazil,2002,293148.25,161229.5,57467.816,52898.316,64645.48,39031.98,43124.52,47836.184,12288.429,7404.136,14510.444,695.1532,46242.016,2045.3402,10624.298,41456.08,32334.018,10261.738,16941.691,58627.12
Brazil,2003,299797.47,166910.1,59020.977,54374.234,66364.92,40966.477,44287.242,49024.26,11699.165,7237.4165,14629.512,645.29364,44618.9,2025.1321,10501.601,42299.66,32294.13,10347.61,16488.305,58861.85
Brazil,2004,305576.97,172309.27,59863.973,55813.47,68030.19,42880.703,45309.953,50337.57,10714.525,7052.99,14671.865,700.2188,42679.652,2095.1826,9923.872,43287.76,32556.838,10546.036,16371.56,57149.984
Brazil,2005,300044.03,174755.05,57442.297,55962.44,67738.01,43879.477,45856.05,48996.42,9946.049,6660.91,14481.934,836.85657,40426.08,2070.0212,8967.704,43384.67,31572.172,10767.91,15913.9795,55912.645
Brazil,2006,306520.97,179844.55,57268.11,56848.957,70109.72,46467.38,47034.168,51548.117,9386.826,6432.7793,14561.338,779.02423,38316.523,1999.0828,8259.479,43478.85,31485.248,10893.999,15576.86,55535.75
Brazil,2007,311284.2,185393.4,56941.47,58257.418,72806.625,48559.863,48281.188,53103.047,8352.89,6274.3135,14751.982,576.18536,36310.203,1952.8192,7863.477,44275.12,32036.459,11253.971,15526.448,55947.246
Brazil,2008,317236.1,191589.03,56794.016,59818.53,75898.38,50797.727,50169.77,54935.484,7731.6035,6243.1504,15082.591,321.24374,34581.605,2046.433,7516.8984,45144.055,33207.977,11616.851,15383.758,57389.992
Brazil,2009,321333.88,196871.16,57835.668,61055.35,79065.89,53319.46,52324.918,59874.22,7059.0522,6186.506,15255.711,330.33844,33095.72,2185.517,7349.616,45914.945,35331.035,11806.585,15292.412,59037.97
Brazil,2010,328466.53,204669.7,59959.95,63206.703,83113.54,56522.88,55367.945,63389.598,6557.03,6015.6377,15367.798,307.74942,31631.287,2049.604,7285.4253,48610.445,36837.223,11813.554,15140.555,59169.32
Brazil,2011,334245.53,211475.62,62051.59,64758.7,86159.31,59453.215,57758.97,67261.19,5972.5615,5890.5654,15533.914,269.26422,30390.45,2003.7723,7165.538,49929.56,39148.566,12188.596,14817.033,59481.664
Brazil,2012,332408.03,216623.45,61352.617,65411.29,86063.01,61505.23,59301.332,69392.234,5925.2466,5734.7075,15624.35,263.95682,29562.729,1965.993,6924.147,50333.44,37583.203,12510.695,14370.807,62176.23
Brazil,2013,336346.47,223030.67,62783.793,66738.39,87862.695,64590.023,61389.9,74277,6075.0737,5752.384,15840.868,203.78423,28956.775,2082.7126,6921.507,49397.3,39154.94,12749.292,14013.386,63284.105
Brazil,2014,338272.25,228159.02,63011.348,67452.7,88629.086,67029.586,63577.55,77631.94,5776.372,5650.2324,15835.479,142.41232,28096.818,2153.6746,6662.165,48299.914,40548.4,12944.159,13753.045,64974.543
Brazil,2015,347434.8,237557.39,65685.12,69407.49,91848.35,71107.53,67221.586,83219.984,5790.5,5656.618,15774.423,113.03624,27280.455,2113.156,6615.6396,44656.977,42155.47,13441.802,13711.469,65875.69
Brazil,2016,356552.66,245596.77,67851.02,71111.97,95732.33,74390.79,70500.88,88319.734,5975.8394,5671.321,15749.869,80.29507,26563.492,2079.5854,6492.405,42608.316,44521.38,14191.96,13841.991,67858.87
Brazil,2017,355129.1,250096.08,68292.086,70914.52,98147.27,77148.984,71843.21,86657.85,5947.618,5681.9663,15178.104,99.09369,25783.766,2135.3025,6083.0605,41114.074,45977.062,14884.139,14018.148,67376.73
Brazil,2018,353794.03,255499.4,67984.945,71247.51,100662.055,79287.95,73778.81,86981.33,5804.6055,5628.1294,14708.204,88.332436,24637.686,2086.1118,5668.1323,38947.215,47364.176,15569.381,13877.168,61782.83
Brazil,2019,360328.75,263109.56,70758.07,72562.13,105625.5,84526.94,77548.05,89092.984,5942.255,5749.0933,14510.1455,67.84872,22963.738,2031.2803,5583.3994,38518.504,49445.723,16645.326,13360.222,55744.81
Brazil,2020,357506,261730.78,68341.695,71944.055,108442.51,85528.59,78423.164,307268.2,5515.172,5943.547,14520.334,88.17989,21279.945,2503.0515,5469.701,39236.652,46736.37,17301.322,13012.762,55080.05
Brazil,2021,365938.75,268646.66,66884.51,75070.04,112778.96,90098.945,83012.63,542771.25,5838.6245,6599.634,14423.628,84.51325,20528.361,3622.1272,5676.0996,39541.3,46849.344,18448.045,13254.103,52952.195
Brazil,2022,385768.84,282151.03,73827.63,79501.086,117045,95495.17,88926.33,189125.94,6354.4395,7084.6763,14539.389,67.60222,19810.137,2030.4811,5365.9766,40794.043,51062.44,19762.592,13667.34,52420.492
Brazil,2023,379656.94,289443.3,73935.055,80191.445,115189.96,97622.91,91360.2,110474.87,6699.7964,7250.054,13777.318,86.96026,19875.973,1787.2694,5074.027,40472.25,50931.207,20129.197,13970.123,52229.21
Central African Republic,1980,3253.169,1209.9248,782.37213,1012.18646,632.8519,233.35594,971.71967,4709.643,5227.1245,5086.975,3.3608627,1552.6775,3587.011,1319.3888,385.121,2204.319,1307.3539,273.53726,7480.99,231.53523
Central African Republic,1981,3278.0544,1222.688,789.77844,1020.94244,640.3539,235.56319,986.0203,4763.5146,5171.6006,5095.949,8.0469,1566.9888,3628.6313,1322.5928,386.75497,2244.6875,1325.9456,279.31183,7316.2637,238.39531
Central African Republic,1982,3303.6082,1232.9867,795.82635,1026.8234,647.28845,237.6279,998.79333,4807.6763,5106.0454,5114.695,18.751486,1581.7183,3671.082,1326.3708,388.49707,2252.4646,1333.5364,283.5732,7341.659,244.32706
Central African Republic,1983,3239.9392,1197.0104,793.9188,1011.2786,638.163,234.28117,1001.3542,4844.5527,5043.2544,5040.835,41.222225,1608.2815,3716.1548,1271.8843,390.28262,2110.0933,1295.9469,276.70038,8015.0347,243.95769
Central African Republic,1984,3245.8992,1205.7303,805.2747,1027.6836,646.6708,236.82729,1017.78546,4899.6665,4996.345,5098.772,89.69917,1642.5803,3760.5173,1290.3258,395.37955,2095.2957,1307.867,282.95108,7987.7114,249.22054
Central African Republic,1985,3246.7559,1210.661,812.96387,1036.1298,653.0362,239.3411,1041.9706,4965.9087,4982.551,5135.779,183.7131,1701.444,3872.869,1290.0385,400.71182,2096.8687,1325.0582,288.29352,8073.791,256.6389
Central African Republic,1986,3309.922,1246.0403,834.8299,1070.6096,675.4612,247.433,1077.2415,5046.6094,5005.457,5313.5146,369.3949,1797.5453,3975.0286,1369.4792,409.74582,2208.0642,1383.7212,305.57782,7439.1343,277.75482
Central African Republic,1987,3309.6982,1244.5048,847.34436,1077.8247,681.5888,249.56714,1080.4952,5011.7876,4938.1387,5372.221,674.6972,1884.2051,3970.3718,1381.6985,408.4501,2129.1519,1384.9938,311.2086,7292.379,288.14215
Central African Republic,1988,3225.2056,1205.1263,857.834,1074.6832,675.59973,247.82677,1086.9427,5009.541,4906.4614,5387.0166,1137.285,1992.4386,3994.1855,1363.6981,410.00797,1992.0881,1350.0569,311.3822,7468.8105,286.6455
Central African Republic,1989,3198.6636,1204.4337,871.7955,1080.2886,679.4528,249.43486,1118.6575,5111.0366,5017.287,5439.9985,1818.8073,2151.0571,4071.5461,1363.2341,428.0002,1929.3652,1339.2383,318.30304,7418.331,292.98718
Central African Republic,1990,3161.7227,1197.3992,883.76715,1084.5282,681.59686,250.30475,1160.4065,5295.1597,5254.3926,5495.306,2716.5835,2357.418,4148.7656,1361.1991,463.28287,1849.6759,1344.0206,321.9783,7623.368,302.043
Central African Republic,1991,3289.9841,1254.7776,911.1598,1115.1116,707.2281,259.1859,1207.1437,5440.8516,5420.249,5701.1895,3885.826,2560.6326,4207.5317,1424.7876,495.7773,1888.3339,1391.6888,339.58026,7333.3145,317.85532
Central African Republic,1992,3379.3062,1289.9473,928.11633,1129.0765,721.9055,264.0574,1238.7609,5522.621,5515.4126,5841.05,5132.3037,2721.6333,4254.4385,1479.8826,517.37555,1902.2098,1407.2236,349.75418,7642.2124,325.02625
Central African Republic,1993,3567.9531,1363.5679,963.2426,1175.2789,757.82336,276.23575,1286.274,5647.499,5656.2334,6183.1133,6647.7393,2927.0527,4322.7812,1626.8726,543.5761,2016.7871,1466.2614,373.84012,7428.9062,349.74554
Central African Republic,1994,3656.647,1410.5564,982.9465,1202.3661,778.1895,281.80084,1317.8088,5693.665,5693.5776,6409.05,8137.6475,3094.2942,4393.0117,1745.3387,557.4241,2107.5596,1485.5061,390.47113,7614.843,363.7481
Central African Republic,1995,3650.6235,1422.2529,985.7392,1206.5562,780.7141,281.66736,1320.4933,5636.7476,5879.702,6514.1187,9460.278,3229.6304,4425.9487,1831.2916,556.7892,2111.0063,1465.0189,396.3676,8212.52,367.4278
Central African Republic,1996,3785.1006,1486.1077,1005.9975,1237.9573,806.48944,289.8967,1332.764,5635.0576,6172.192,6809.287,10946.127,3426.302,4440.932,2000.1226,568.80975,2222.2046,1553.3787,414.32413,7951.25,387.94537
Central African Republic,1997,3765.6704,1480.5221,1001.30524,1228.6923,801.8592,289.13593,1316.4512,5540.213,6433.8,6816.08,11860.85,3583.0364,4472.2476,2056.6152,562.25543,2240.1929,1599.119,413.21646,8433.011,390.1694
Central African Republic,1998,3874.22,1529.8579,1018.6019,1250.0524,821.2897,296.96735,1331.6935,5541.903,6670.4155,6935.0435,12946.492,3837.0334,4588.433,2188.9553,570.62775,2364.2214,1505.1495,426.6048,8079.9336,411.59613
Central African Republic,1999,3941.9177,1564.3431,1031.9662,1265.3702,834.8712,302.96176,1343.9863,5540.725,6930.527,6994.2056,13738.596,4106.984,4712.3003,2277.6494,578.6881,2485.9924,1506.1841,437.53983,7794.2217,421.04944
Central African Republic,2000,3902.116,1549.2949,1034.1558,1256.3209,828.2574,302.19772,1333.4254,5490.8696,7098.2183,6878.4907,13917.94,4266.5645,4849.7656,2261.414,572.7394,2513.4575,1477.2775,434.50415,8381.924,421.4412
Central African Republic,2001,3915.1013,1555.3873,1041.7979,1262.7009,832.5498,305.7079,1333.2025,5456.704,7332.701,6818.5537,14063.5,4423.693,5040.512,2266.1165,574.82886,2527.4192,1692.3048,439.35654,8399.131,431.3773
Central African Republic,2002,3976.8884,1576.6792,1057.9429,1281.2755,845.6584,312.05264,1327.1843,5385.126,7542.332,6804.6855,14123.287,4816.2026,5202.5093,2273.3252,575.88477,2647.4683,1634.2571,448.03253,7745.072,448.17154
Central African Republic,2003,3938.8325,1561.4417,1056.769,1283.4984,847.55347,313.70148,1328.3125,5297.7866,7592.9634,6717.889,13836.017,5190.3223,5360.82,2254.755,570.33246,2560.819,1533.2953,449.59296,7806.2754,455.92642
Central African Republic,2004,3932.3896,1560.3954,1064.2136,1292.8796,855.57086,317.98914,1353.1652,5264.9883,7733.991,6675.421,13510.222,5458.045,5550.913,2234.1472,569.2236,2496.0635,1480.7859,453.41995,7918.09,462.39972
Central African Republic,2005,3943.498,1562.5853,1078.281,1308.8888,866.70636,323.76172,1382.3757,5248.34,7769.4375,6668.796,12809.345,5659.7666,5684.9546,2206.7798,569.3807,2475.675,1471.1018,460.396,7963.323,471.45926
Central African Republic,2006,3996.9026,1585.7181,1107.6285,1343.471,891.7688,336.1198,1454.8988,5446.5713,8211.166,6729.992,12041.567,5970.803,5859.878,2194.5288,588.8336,2525.1802,1751.9187,473.94614,6730.1504,487.27258
Central African Republic,2007,4008.971,1591.1755,1126.1005,1371.9209,906.8128,343.70642,1505.1757,5524.2363,8413.987,6703.71,10846.144,6032.6978,5965.31,2136.0945,582.9258,2490.9182,1704.7397,479.9813,6572.1494,498.6168
Central African Republic,2008,4019.4558,1588.2616,1141.2745,1392.597,917.0817,349.0145,1538.0837,5524.982,8490.024,6653.9087,9203.658,5794.622,6062.61,2050.3125,564.4518,2433.2048,1563.512,478.7538,6985.876,490.40915
Central African Republic,2009,4159.6074,1643.2552,1169.0939,1433.2592,951.5836,361.2796,1593.2341,5646.1973,8654.633,6760.7305,8748.702,5735.3916,6190.95,2075.108,559.5975,2428.5625,1851.8914,491.07608,6623.909,508.0249
Central African Republic,2010,4463.4443,1765.2911,1219.6318,1502.9862,1016.15466,382.0256,1672.4045,5856.1665,8812.385,7063.7866,9523.674,5512.3486,6343.4004,2198.5793,564.0614,2510.2993,1856.6608,519.6021,6111.503,536.97906
Central African Republic,2011,4711.443,1856.5442,1258.0494,1549.4862,1065.0872,396.0207,1725.2227,5957.935,8751.398,7254.761,10272.273,5222.7017,6462.2896,2281.2546,555.3471,2571.6936,1876.0483,541.64825,6266.7617,610.238
Central African Republic,2012,4810.738,1892.1573,1279.1521,1570.206,1089.1875,402.93,1758.4761,6037.669,8602,7276.907,10394.821,5088.314,6545.4434,2292.7905,543.36786,2519.1606,1883.4209,554.25867,6448.2397,543.85535
Central African Republic,2013,4931.405,1964.0159,1316.7194,1628.8363,1135.9214,417.23965,1811.8674,6283.573,8787.666,7621.0947,10218.267,5022.481,6733.982,2406.7524,551.53937,2495.2769,4964.295,585.06415,6497.51,952.6541
Central African Republic,2014,4990.0137,2006.7122,1347.3279,1670.5417,1166.8594,425.7804,1829.2716,6397.035,8859.39,7812.67,9194.219,5036.8857,6762.0938,2436.3728,547.89685,2539.9824,4386.323,601.58185,6822.315,1683.6984
Central African Republic,2015,5233.294,2067.7935,1399.1754,1704.6849,1197.5902,433.93008,1821.1405,6428.9175,8797.236,7923.852,7928.9507,4824.723,6598.411,2411.6116,540.99945,2513.722,2354.4304,606.6765,6720.1045,891.1227
Central African Republic,2016,5273.4453,2142.2236,1425.4255,1740.1863,1232.2983,445.0883,1826.8331,6415.702,8702.659,7996.037,7282.6953,4631.994,6637.443,2411.7932,533.38257,2349.5447,2328.4065,608.4209,7003.8164,843.3029
Central African Republic,2017,5436.719,2253.357,1471.0524,1790.8064,1281.1853,463.04166,1905.8448,6706.808,9034.166,8124.613,7031.0854,4789.633,6923.8735,2454.9001,553.1288,2509.9934,2776.405,619.70166,6556.827,1740.5995
Central African Republic,2018,5480.7324,2318.6748,1509.29,1837.593,1319.4054,478.83664,1950.5443,6736.718,9115.877,8168.417,6934.288,5138.836,7025.6353,2461.5837,558.42816,2464.7676,2304.0654,632.4717,6281.767,1000.051
Central African Republic,2019,5728.3296,2428.077,1574.2128,1898.4061,1370.076,498.15234,1991.0536,6716.9365,9050.664,8241.68,6412.193,5060.0215,7089.0283,2470.4521,560.2097,2527.0173,2516.1396,650.35114,6632.664,720.10864
Central African Republic,2020,5887.3374,2550.0017,1597.9478,2000.6345,1441.8625,527.44763,2173.497,7769.3447,9824.674,8482.6045,6072.4316,5348.795,7428.0703,2509.1772,617.42706,2625.3682,2309.6326,682.0001,5405.0137,958.23834
Central African Republic,2021,5906.711,2635.7046,1626.1726,2093.299,1495.3484,549.0506,2292.9272,7507.2393,10178.164,8562.555,5992.3394,5549.447,7790.2373,2527.6333,654.1864,2693.576,3499.952,730.36615,4822.076,821.13654
Central African Republic,2022,6702.892,2999.5178,1673.7356,2047.7922,1565.6945,564.43134,2275.4875,7017.0215,9511.068,8229.14,5482.802,5522.5205,7720.9766,2490.219,618.4192,2878.9062,3070.2756,719.1498,5363.6807,803.2335
Central African Republic,2023,7056.2974,3199.9517,1735.0616,2046.2405,1623.7699,578.4837,2314.8384,7217.34,9069.309,8202.147,5029.155,5575.158,7766.6284,2486.9807,616.1861,2977.7178,2739.0076,729.94257,5624.771,801.1447
China,1980,3039737.2,1313532.4,534927.44,281724.53,191463.2,118333.39,218892.83,535778.06,178677.9,217705.25,0,701.9445,392544.5,38784.586,16035.462,308002.9,461637.47,178139.61,277913.97,50009.336
China,1981,3034229.5,1336398.4,553229.2,285085.4,191713.34,123175.234,216832.88,514158.6,164491.38,212481.66,0,694.035,372588.5,36887.082,15540.965,312869.72,438149.44,183713.27,253112.73,50153.387
China,1982,3031519.2,1354887.2,567833.8,284588.9,191623.86,127184.17,216232.38,503067.56,153472.22,206909.8,1.9200119,672.6364,367466.62,34546.082,15048.109,320445.75,421114.6,184825.02,235082.12,49588.164
China,1983,3012996.5,1365558.5,579138.8,283661.97,190763.44,130116.5,220175.22,510408.2,148907.73,203894.64,41.672203,635.1448,380121.06,34520.457,14966.276,326726.25,412491.6,187004.06,224212.45,48990.87
China,1984,2987408.8,1378444.5,590850.6,283312.47,189597.89,133471.06,226960.06,524441,146562.33,200195.3,106.214745,731.7158,395674.03,34473.977,15198.425,331623.6,403321.06,189532.25,218648.48,47888.016
China,1985,2961914.2,1398955.1,602492.06,282949.16,188378.69,137857.4,233444.94,529095.1,141550.67,193696.3,210.82872,410.08478,400153.03,33444.91,15350.528,336721.4,396441.06,193665.25,194876.05,47548.668
China,1986,2969026.2,1437665.4,616275.1,282534.66,188544.08,144103.89,237945.16,522981.16,133233.89,185564.6,355.58087,401.43005,392931.25,31772.242,15309.954,343794.5,387112.62,198111.92,177610.44,46940.547
China,1987,3023676.2,1494175.1,642978.9,288286.03,191329.17,152037.4,243754.28,520825.5,125049.016,182340.14,543.44617,344.00638,388420.3,30705.059,15379.589,352512.3,385070.97,206096.89,165149.72,47354.15
China,1988,3116421.2,1570851,665699.06,292739,195821.42,160285.58,251633.38,522154.94,115152.73,179185.67,808.4476,233.87875,387320.28,29843.518,17038.334,367775,381405.56,213404.61,157571.98,47309.97
China,1989,3218284.2,1652384.9,691022.44,298383.12,201257.55,169271.58,261309.62,528297.2,108254.95,178397.25,1123.6705,175.72382,388665.56,29325.496,15941.679,382410.9,387658.47,221933,151469.44,47732.957
China,1990,3303962.5,1714361.9,703399.7,297625.16,204053.53,175798.9,265802.06,524533.4,99779.79,174627.95,1514.1207,253.89977,378345.9,27591.99,15981.282,393228.8,383033.03,224893.77,145135.03,47720.246
China,1991,3359548.8,1756668.4,720844.56,297932.16,205531.1,181937.94,266823.5,510300.8,91046.664,170634.81,1948.3032,250.56114,356896.9,25492.74,17542.188,399532.06,377585.56,232886.64,140088.78,46708.02
China,1992,3389853.8,1783863.8,738769.9,297511.22,207319.47,188222.92,264027.7,493800.7,80837.766,163614.86,2456.925,228.55759,335101.28,23961.648,14799.732,402739.47,368823.7,237462.66,131496.02,45164.727
China,1993,3393919.5,1805812.1,756251.25,296411.7,208448.66,194183.28,260832.9,474141.8,72664.51,154683,3021.2793,156.30475,314316.94,22147.37,14120.51,402521.9,365470.62,240136.45,124258.59,43872.52
China,1994,3394745.5,1829925.6,772536.8,295011.53,210594.2,200548.78,258020.28,455203.8,64448.062,144839.7,3626.4753,124.39,292710.8,21007.045,13514.189,401917,360244.12,241533.94,115850.28,43113.19
China,1995,3389901,1853256,789886.5,293523.62,213143.3,207071.62,251672.1,432364.72,57341.754,135295.53,4326.537,118.35378,268210.66,18263.035,12777.048,399933.8,350771.22,239264.36,106041.94,41322.223
China,1996,3387992.8,1876771.4,810289.3,291368.88,216738.36,214431.78,242578.08,404460.75,50458.25,125637.82,5075.448,73.52477,242076.5,17021.646,11966.887,396866.47,345681.75,233581.66,96346.79,39059.547
China,1997,3397526.5,1902312.9,834058.44,289693.12,221873.72,222240.75,233667.33,375506.28,44390.574,116915.836,5899.679,38.677708,216849.53,16493.049,11203.791,393653.7,334274.03,227477.67,86575.586,37631.734
China,1998,3412684,1931903,865081.8,290687.94,228475.34,230610.64,224222.22,348669.94,40396.06,110816.39,6903.07,51.592808,195779.22,14317.671,10608.87,389930.22,332050.06,222999.81,77927.76,36500.133
China,1999,3433431.8,1969100.1,901542.3,293069.44,235554.61,240480.36,216794.97,324120.12,36437.047,106488.65,8111.8184,56.397507,177406.4,13814.047,10184.849,387018.34,324956.97,218494.33,70740.67,34944.926
China,2000,3450210.5,2006520.4,950626.4,297803.8,242554.55,252431.11,211157.03,304637.28,33309.46,103475.56,9591.79,22.093925,164218.86,12140.152,9890.756,385014.4,324239.44,213802.7,62823.695,33173.527
China,2001,3450527.8,2032336.8,993070.06,299025.88,247348.38,263981.2,212721.6,286452.66,29661.463,99900.37,11255.478,25.8432,153437.7,11379.901,9609.3,383638.84,326121.88,204524.25,57108.266,30861.223
China,2002,3410759,2032443.6,1028667.25,300059.03,249671.81,273450.06,208448.88,266549.62,26006.812,96471.39,12489.316,44.60963,141056.73,9761.456,9219.478,380574.38,328186.3,197282.22,51296.742,29504.795
China,2003,3377609,2028366.9,1065760.9,303412.25,250689.98,287649.75,197756.45,249781.19,22776.27,93185.63,13306.713,34.572395,130720.96,10355.534,9078.557,376486.28,331740.9,190636.8,47463.64,29175.148
