Entity,Year,Total number of deaths from heart diseases,Total number of deaths from cancers,Total number of deaths from chronic respiratory diseases,Total number of deaths from digestive diseases,Total number of deaths from diabetes and kidney diseases,Total number of deaths from neurological disorders,Total number of deaths from other non-communicable diseases,Total number of deaths from pneumonia,Total number of deaths from diarrheal diseases,Total number of deaths from tuberculosis,Total number of deaths from HIV/AIDS,Total number of deaths from malaria,Total number of deaths from neonatal disorders,Total number of deaths from maternal disorders,Total number of deaths from nutritional deficiencies,Total number of deaths from transport injuries,Total number of deaths from other injuries,Total number of deaths from suicide,Total number of deaths from other infectious diseases,Total number of deaths from interpersonal violence
China,2004,3291860,2018517.9,1099754.6,306875.4,250350.14,302501.7,190536.56,233753.73,19991.355,88102.3,15169.761,39.586365,120643.05,9268.133,8910.46,370381.9,330872.2,186415.05,43731.42,28447.836
China,2005,3257527.5,2021911.5,1094070.9,300934.38,248721.84,314749.72,183787.25,218625.23,17170.994,79760.42,17023.383,35.352215,113016.79,8474.118,8780.343,364647.3,328636.94,175968.44,41485.81,26357.38
China,2006,3273929,2045966.1,1048879.2,287764.44,246370.3,321579.03,176157.03,201663.47,14535.79,69809.6,16037.385,28.870722,105571.85,6763.27,9347.549,358314.2,323518.4,162421.6,38707.664,24039.744
China,2007,3330740.2,2086480.6,1027764.8,277569.38,248007.69,335457.97,167940.39,192356.08,12185.711,62865.77,15757.563,17.630808,98040.05,6544.888,9188.991,348833.5,318093.4,151478.92,36979.156,21936.393
China,2008,3374560,2090720.2,1016598.5,270690.47,250647.33,352091.7,159176.23,186916.4,10154.413,58539.695,17018.47,12.266591,89467.21,5109.59,9104.857,336109.78,395829.66,142134.53,35694.508,19975.836
China,2009,3432094.8,2091480.8,1005466.1,263262,254580,368679.75,150679.78,181840.94,8502.68,55038.035,16748.521,8.252372,78772.27,4162.9966,9257.246,320512.8,298467.56,133554.28,33910.6,18718.984
China,2010,3454157.2,2071882.2,986925.4,255107.06,255793.84,386493.9,139046.48,174898.06,7133.177,50548.6,16901.424,11.63709,63904.78,3224.3743,9396.635,303891.25,292914.34,125596.63,31367.896,16633.922
China,2011,3500220.8,2041996,960928.7,246050.48,255256.55,399756.5,129806.65,167902.95,6080.3823,45854.86,16972.68,0.9240491,55210.184,2540.2393,9982.156,286887.28,273554.53,118108.1,28945.895,14736.312
China,2012,3509304.5,2035114.1,931684.56,240594.92,258393.53,416104.8,125093,165108.34,5589.8843,42629.54,15940.287,0.18452278,53769.29,2363.3174,10652.726,271116.3,270430.97,112441.484,27407.258,13166.357
China,2013,3620366.2,2011594.4,911797.6,231155.27,255945.92,423769.9,120664.98,160094.05,5063.757,38847.703,16912.541,0.0882297,49784.754,1986.7103,11042.587,251716.94,263607.8,106228.63,25774.416,11905.908
China,2014,3689418.2,2051012.6,901035.8,229611.92,263484.66,447766.06,117422.98,159894.31,4658.2783,36901.676,21137.307,0.016184455,44883.39,2102.171,12057.635,238828.2,264007.06,104025.01,24898.863,10913.438
China,2015,3860934.2,2123295.2,894426.5,231027.83,274622.88,472805.8,116441.875,160464.1,4457.7397,35857.203,25673.281,0.0032674293,42740.195,1824.8582,13589.21,229371.47,268249.7,102135.055,24633.39,10095.303
China,2016,4135936.8,2243562.5,904509.7,236433.64,290998.78,507667.97,117452.94,163019.92,4392.5073,35191.984,29482.941,0,39304.594,1894.0459,15511.229,221950.25,277819.53,101854,24606.322,9447.51
China,2017,4322244,2321818.2,907937.9,238138.27,299653.28,536420,115474.5,162586.94,4154.3877,33446.152,31924.986,0,31794.143,1778.3871,17416.941,211064.84,278519.78,101445.75,23575.754,8806.945
China,2018,4172730.8,2290427.5,901080.2,239841.34,299260.2,557845.5,112199.54,161713.31,3905.7786,31686.914,33174.766,0,24366.166,1507.6593,15880.957,197199.27,268449.8,101748.94,22304.615,8219.564
China,2019,3925075.2,2203424.8,897665.56,240329.53,294565.5,572935.8,106487.75,160666.25,3695.3425,29805.104,33506.516,0,18271.16,1335.5034,14713.294,178733.55,253410.64,101910.59,20972.797,7772.605
China,2020,3815343.8,2175502.5,851418.6,244029.2,297287.72,603640.9,103817,211185.16,3593.729,28399.39,33669.58,0,14133.908,1130.8127,14829.993,166022.1,245416.19,101370.945,19147.443,7535.6323
China,2021,4294535,2401100.8,909517.3,251602.84,319404.84,684519.1,107212.33,154067.98,3543.8477,27769.041,33210.363,0,11301.822,985.15594,16466.082,171978.36,260525.72,104197.7,19178.947,7365.014
China,2022,4545362.5,2629376.8,1013254.9,259897.66,341788.62,742110.7,112681.43,186068.11,3595.4219,27661.682,32444.006,0,10408.225,1013.40045,17492.193,180002.23,269881.16,103483.805,20306.152,7579.969
China,2023,4521983.5,2575473.5,1046555.44,237356.78,333924.94,723382.1,108483.93,474656.66,3272.9111,24751.732,30128.047,0,10353.276,957.98755,17052.316,168649.89,262199.9,95462.17,19132.67,7014.422
France,1980,202546,148868.05,22211.475,37717.227,15893.911,23825.727,17828.418,11701.591,603.43787,3122.0413,221.86693,0,3321.9092,159.56256,2114.0159,14824.17,26656.598,12481.638,2180.412,852.49927
France,1981,203762.67,151257.72,22389.33,37541.61,16025.488,24782.617,18084.883,13445.017,663.29553,3094.5303,221.40076,0,3197.2476,162.47453,2149.3872,14658.421,26847.19,12767.54,2120.6597,878.425
France,1982,198379.84,151001.58,21631.914,36201.28,15642.722,25132.717,17959.326,12463.523,699.4916,2925.452,227.79602,0,2939.5583,148.35486,2055.176,14395.028,26308.41,13424.141,2066.1094,949.14606
France,1983,202930.31,154672.92,21909.594,36361.906,15893.222,26514.88,18354.672,14234.769,704.75726,2884.7566,259.83783,8.183681,2664.8726,141.64948,2130.9927,14199.153,26742.213,13992.514,2062.8315,989.12964
France,1984,195542.28,153543.86,21063.955,34535.152,15496.662,26753.281,17918.545,13977.035,673.8581,2707.4646,329.25983,1.1447897,2520.4395,135.48558,2106.5938,13788.301,25827.06,14302.932,1998.0131,1011.7446
France,1985,197792.6,156225.47,21421.412,33531.47,15468.425,27920.398,17889.562,16413.652,718.2998,2700.7278,467.98895,1.4484152,2442.2683,119.31236,2189.3608,13127.898,26046.912,14567.599,1980.3126,987.67255
France,1986,192356.7,156909.28,21235.305,32195.205,15000.325,28611.525,17727.887,17886.895,774.3589,2609.962,712.75085,12.168414,2313.6921,110.47737,2214.6377,12760.691,25607.805,14527.885,1926.4265,935.51794
France,1987,182492.39,156383.84,20134.324,30438.2,14374.932,28616.076,17216.793,16316.641,786.7517,2406.9143,1063.0033,10.9574795,2221.4905,98.07817,2117.9736,12254.599,24484.713,14140.399,1823.1693,889.07153
France,1988,177601.9,157327.05,19960.678,29643.174,14331.741,29418.021,17265.908,16634.14,811.4673,2405.7722,1531.3573,13.867182,2206.6758,98.671394,2118.3667,12445.602,24481.578,13734.867,1763.4995,874.2687
France,1989,175993.1,159151.1,20486.031,29202.928,14505.067,30574.225,17466.805,17596.969,878.9537,2391.3298,2137.3936,8.562685,2173.0747,89.72714,2233.914,12485.451,25133.99,13745.963,1713.2443,918.7799
France,1990,171670.6,159469.33,20351.15,28364.389,14616.425,31309.85,17613.598,18831.236,1053.0479,2345.7095,2849.486,6.029681,2128.3513,99.87908,2408.829,12084.653,25179.645,13674.577,1663.7754,935.02515
France,1991,169291.44,160040.67,20145.803,27747.54,14379.481,31872.553,17462.344,18752.195,1179.1733,2254.819,3597.138,9.711934,2033.612,104.524216,2499.6348,11600.93,24887.072,13732.493,1674.1332,938.1947
France,1992,166115.05,160998.7,20417.016,27231.496,14114.37,32464.316,17152.59,19364.293,1275.3462,2286.7495,4297.034,0,1853.5807,104.758026,2603.182,10990.5625,24351.514,13901.144,1710.1975,941.66876
France,1993,167822.62,163518.16,21261.545,27430.62,14645.592,33670.027,17454.512,20588.252,1291.9531,2419.8445,4817.4897,1.1101594,1678.3191,84.70058,2703.1055,10550.987,24368.5,14241.469,1698.5624,940.1178
France,1994,162353.33,161509.1,21097.121,26936.662,14506.296,33647.27,17351.492,19864.965,1252.8431,2418.905,4999.624,7.7412996,1547.2427,92.65577,2704.0466,10122.062,23443.451,14227.13,1729.8773,959.38464
France,1995,165623.44,164791.06,22094.943,27569.871,14993.667,34862.965,17607.432,20962.377,1317.6586,2419.09,4419.864,1.087534,1456.3203,88.48378,2888.3936,9890.607,23715.957,14001.308,1743.7515,925.3038
France,1996,166688.7,166295.47,22953.531,27813.744,15377.375,35563.496,17700.145,22150.582,1317.47,2355.9553,3223.7368,9.667012,1386.1722,102.57406,2977.3037,9618.667,23854.486,13582.203,1738.1494,852.4862
France,1997,163914.22,165480.58,23176.049,27567.768,15714.968,35856.66,17793.086,22832.508,1300.212,2324.3784,2137.2751,9.173093,1361.4109,84.284836,3017.7627,9432.954,23701.309,13156.3545,1700.8806,801.5927
France,1998,162385.88,167272.1,23284.521,27668.79,17182.44,35832.23,18341.252,22707.809,1386.5134,2294.9177,1601.703,9.586591,1372.071,86.838005,2960.2056,9597.475,24187.973,12795.829,1632.3397,731.42395
France,1999,162861.31,169138.72,22449.271,27485.932,18671.744,36850.88,19136.848,22783.832,1441.2615,2163.177,1368.6831,10.180978,1430.151,69.47907,3074.6277,9437.361,24343.736,12470.359,1626.1986,701.70856
France,2000,160605.28,169945.53,18359.514,27300.803,20553.104,37750.31,19918.168,20777.438,1588.2273,1863.5356,1282.7144,6.92787,1528.1544,61.09857,3232.4746,9240.041,23185.621,12060.858,1536.355,669.12305
France,2001,159360.22,171620.77,16947.969,27546.713,21559.338,38509.996,20398.031,19021.025,1530.559,1750.9559,1260.9857,7.6033387,1587.5698,62.99117,3310.9875,8878.793,23131.475,11884.238,1482.074,667.219
France,2002,158829.22,174619.92,16956.057,27853.068,22406.766,39732.008,20760.977,19490.762,1610.3723,1685.7849,1243.0299,9.479603,1561.2654,72.270386,3418.506,8353.519,23369.496,11948.869,1453.4586,671.16907
France,2003,161693.9,178688.67,17576.553,28386.98,23452.082,41720.227,21376.727,20154.742,1778.5538,1695.4745,1211.6683,10.126464,1506.3625,62.667316,3651.987,7540.762,25522.416,11997.877,1486.4388,648.7437
France,2004,146665.55,172596.27,16289.659,25971.564,21810.799,39919.44,19784.365,17398.4,1642.0973,1462.6278,1140.1611,3.2270076,1451.7416,58.566154,3159.4963,6717.5977,22004.19,11683.766,1377.3846,611.3274
France,2005,150334.53,176964.73,16959.227,26544.457,22634.611,42504.125,20241.887,18875.543,1754.316,1427.0087,1084.4242,2.8126335,1430.7977,53.057697,3320.0698,6372.7896,22733.123,11602.695,1417.5657,581.24615
France,2006,144915.98,176126.5,16319.991,26065.523,22332.713,42641.906,20024.102,17302.5,1854.3402,1301.0986,1010.60455,2.431324,1410.0652,59.982307,3211.4722,5919.152,22354.414,11343.581,1405.3392,568.732
France,2007,145252.55,177736.81,16506.637,26168.338,22634.479,43895.953,20319.33,17605.262,2135.351,1219.2957,926.7468,1.097948,1397.2427,64.183495,3299.0356,5703.953,22441.96,11159.912,1413.823,549.89
France,2008,147813.2,181555.06,16924.35,26950.438,23381.172,45736.977,21057.406,18311.285,2450.2788,1186.3729,839.79364,0,1390.768,55.3257,3554.6116,5506.242,23052.2,11303.815,1450.2081,572.2835
France,2009,146649.95,183536.11,16990.592,27093.674,23542.143,46764.805,21224.984,18821.824,2586.9194,1158.5189,757.95276,2.7895684,1379.4105,62.226006,3695.2463,5379.435,23374.678,11489.467,1481.626,581.2568
France,2010,146615.23,185019.64,17379.951,27634.346,23844.809,48198.79,21512.371,18399.275,2356.4614,1115.9468,689.0499,5.1683316,1382.0059,70.21397,3795.9543,5127.678,24024.99,11598.212,1491.9807,558.6423
France,2011,143970.53,184933.66,17701.387,28066.814,23538.195,49203.297,21072.732,18977.916,1423.4379,1034.7479,636.4573,1.2506651,1381.3751,53.056858,3769.9587,4861.107,23471.074,11488.019,1484.8867,566.2826
France,2012,149413.8,190021.23,18607.201,29107.207,24887.453,52543.043,21652.053,21303.354,1285.2695,959.3859,608.0766,3.5476825,1397.5021,51.510178,4170.3716,4547.599,24579.98,11198.937,1477.1753,557.6088
France,2013,147154.92,189980.56,18738.115,28525.818,25001.104,53472.11,21512.95,21239.484,1155.8723,897.04596,584.46643,3.6690664,1408.5487,48.457508,4211.564,4223.7344,24444.639,10946.721,1429.6725,529.4743
France,2014,142691.95,188816.31,18319.324,27776.693,24682.242,53839.234,21144.316,20226.396,1078.3724,806.80304,552.7927,1.0682158,1420.2095,45.722385,4138.7188,4119.3687,24248.588,10381.721,1383.0664,499.74634
France,2015,150808.58,195590.16,20324.322,29366.207,26529.49,58046.887,22224.004,23381.318,1203.6493,801.54504,525.01184,3.9286802,1423.707,41.258015,4754.981,4139.594,26970.426,10372.2705,1411.7559,498.6809
France,2016,149421.34,195921.22,20850.885,29601.521,26411.898,59236.66,22561.848,23701.104,1192.2217,770.5746,487.58096,3.403643,1427.1283,40.034424,5094.8745,4095.8928,27666.082,10025.266,1469.6216,480.44977
France,2017,150764.31,197328.08,21445.727,30158.39,27008.193,61337.88,23157.305,25569.807,1261.5326,771.2494,449.1524,7.3287807,1460.7233,40.76913,5513.256,3948.5122,28842.078,9991.169,1557.4789,504.83267
France,2018,150419.7,197750.28,21740.445,30309.037,26922.32,62328.934,23296.158,26067.895,1287.558,735.84,425.472,4.705986,1449.6141,39.56855,5763.1064,3665.448,29471.352,10280.644,1622.8496,573.2407
France,2019,149252.81,198792.98,21804.457,30690.014,27494.816,63852.36,23698.258,26119.162,1306.7805,712.883,408.95767,2.223652,1394.0945,34.415916,5903.9927,3484.4272,31562.834,10456.369,1706.6438,597.5619
France,2020,143401.64,196585.58,19315.719,30121.844,27390.326,62354.67,23466.77,95837.08,1184.0496,633.6338,389.14227,0,1335.7023,38.847054,5572.1216,3177.607,31198.936,10458.234,1654.1372,606.6355
France,2021,138553.61,192115.22,19458.76,28986.68,27220.014,63022.117,23545.477,92038.695,1224.8339,617.13617,374.8283,0,1256.1184,36.184658,5776.873,3047.8137,28641.51,10400.419,1681.0116,600.6559
France,2022,151694.2,211234.95,22095.117,31617.262,29688.188,69459.805,26150.52,70882.98,1347.5446,652.6076,394.27667,0,1379.6066,41.470955,6353.18,3411.3071,36278.84,11281.556,1838.579,652.8845
France,2023,146720.5,212413.25,21841.682,31020.396,29382.893,67434.96,25669.281,39630.992,1271.1975,601.90765,383.38663,0,1241.0492,38.048687,5773.333,3491.8071,33260.438,11236.315,1780.018,648.1573
Papua New Guinea,1980,5324.436,1575.7964,1309.8958,413.89917,1208.3308,135.17471,725.6894,3190.2993,1809.8737,1630.855,0,1553.0227,1477.114,500.52985,425.95157,640.2959,1401.6111,75.14517,3892.0703,172.51248
Papua New Guinea,1981,5462.39,1612.591,1372.1265,429.32098,1262.1666,143.33072,751.6046,3205.68,1807.0259,1648.4993,0,1526.777,1520.1232,500.84528,440.4996,654.757,1420.3252,78.19619,3860.8022,177.56418
Papua New Guinea,1982,5525.895,1627.1663,1421.8838,438.11273,1297.915,149.75044,775.4938,3223.8838,1805.5647,1638.5879,0,1736.0406,1571.2163,480.24603,459.76224,652.67773,1414.0569,79.37968,3830.6965,177.71086
Papua New Guinea,1983,5638.7695,1658.1982,1484.2487,451.0874,1348.4036,158.47511,801.0927,3212.0732,1797.3296,1650.625,0,1750.5378,1627.911,473.6665,474.49265,664.61505,1502.3604,81.61608,3825.7024,183.24971
Papua New Guinea,1984,5744.027,1684.1311,1543.2275,463.55527,1394.0637,167.28531,832.56177,3228.4668,1794.2244,1653.3639,0,1853.5776,1685.0706,462.8332,491.27643,676.6786,1451.6644,83.63933,3765.6836,186.71754
Papua New Guinea,1985,5845.7847,1730.1248,1602.3188,475.06363,1439.7684,176.8909,870.27356,3256.2456,1800.7635,1656.5773,0.019328363,1843.2938,1745.1244,452.34918,513.1829,692.74786,1474.678,85.85836,3769.2253,191.79112
Papua New Guinea,1986,5965.7563,1767.3604,1664.0145,489.0026,1490.1298,187.48907,907.67035,3288.2405,1795.829,1669.8538,0.089879505,1850.2517,1804.75,442.92657,534.6778,705.84485,1495.4376,87.9455,3764.7676,196.90645
Papua New Guinea,1987,6092.668,1801.53,1721.3881,498.43613,1533.0531,197.51411,938.8025,3295.9214,1776.2444,1670.9601,0.23616509,2021.4846,1852.1477,428.88458,546.95996,711.88934,1500.8794,89.24346,3729.991,198.53862
Papua New Guinea,1988,6235.4204,1842.7767,1783.791,506.88992,1576.5386,209.1007,971.17487,3305.4272,1765.1632,1674.7035,0.5171543,2178.2632,1901.153,415.3797,560.5933,722.3306,1591.6407,91.25374,3679.2104,201.70729
Papua New Guinea,1989,6430.257,1901.1592,1852.5884,517.5651,1628.9314,222.2114,1007.9777,3336.8655,1772.803,1690.9143,1.0781288,2176.0037,1959.7819,410.625,578.9272,738.8833,1555.3634,94.12982,3673.4404,205.8328
Papua New Guinea,1990,6613.3433,1972.4695,1910.051,526.6517,1675.9625,235.03568,1044.906,3388.8618,1785.2712,1704.5941,2.1893072,2209.6042,2025.5815,405.43973,599.5874,754.0678,1591.7775,96.88987,3673.1682,210.90688
Papua New Guinea,1991,6871.249,2044.0488,1968.7258,539.0464,1738.3134,248.81076,1081.6656,3435.2617,1786.6573,1731.4272,4.4156313,2163.0708,2067.5222,411.92035,615.68335,774.53,1817.837,100.11547,4031.595,216.24654
Papua New Guinea,1992,7103.631,2116.4375,2022.2992,548.8667,1793.2664,262.57095,1116.9962,3462.28,1771.1156,1738.2776,8.7582655,2161.7544,2095.7805,416.87106,628.37726,794.6776,1682.9292,103.22357,4042.163,219.48982
Papua New Guinea,1993,7339.4565,2196.6814,2081.9392,557.76263,1846.6714,277.6748,1155.724,3475.7134,1742.3878,1727.8773,16.969954,2152.8374,2117.7837,418.81427,640.62885,815.2271,1766.2982,106.63059,4031.3877,222.29945
Papua New Guinea,1994,7588.6616,2276.7886,2140.6323,565.74603,1898.483,292.70532,1193.3303,3496.4224,1703.2144,1723.0944,31.981682,2112.144,2138.7258,425.3995,651.1672,867.19006,1738.2648,110.005226,4078.77,225.41452
Papua New Guinea,1995,7824.9893,2361.1816,2195.862,572.24286,1947.2643,306.26743,1226.5825,3551.8389,1678.2048,1736.4208,57.910313,2052.5854,2177.2915,431.72958,664.05566,871.6941,1772.3241,112.45076,4086.3801,229.77052
Papua New Guinea,1996,8184.0967,2457.0342,2267.1956,584.87854,2022.2917,322.41388,1272.4856,3649.5552,1668.6039,1769.43,102.03987,1818.9032,2236.6692,449.2873,686.05,909.04315,1924.3752,116.31186,3907.0208,236.81392
Papua New Guinea,1997,8396.747,2502.1553,2316.7246,588.5836,2066.5454,333.68484,1304.2375,3718.1133,1639.3292,1773.1058,167.87602,1921.4749,2294.9348,453.6743,698.9872,904.38184,1869.3022,117.98627,3904.0889,239.55128
Papua New Guinea,1998,8610.808,2555.8105,2379.129,597.19086,2119.3318,346.03268,1359.8595,3879.137,1670.4729,1791.6873,267.06158,1798.0784,2366.6946,471.97946,751.62915,936.1001,4159.9365,121.58542,3743.052,251.42667
Papua New Guinea,1999,9007.692,2658.7925,2456.5063,608.3767,2190.6929,362.34555,1418.4517,4003.1128,1683.9067,1807.5781,401.0285,1712.0565,2455.3762,487.0684,792.6058,991.3423,1956.9858,125.912575,3574.357,319.60068
Papua New Guinea,2000,9297.062,2744.3228,2523.7488,613.5996,2247.8933,375.79678,1465.7617,4081.9734,1676.1615,1805.095,557.78357,1794.9431,2538.9868,486.825,818.5442,986.2967,1987.4684,128.89983,3573.688,277.2217
Papua New Guinea,2001,9465.447,2772.194,2582.735,618.24274,2301.1577,387.1988,1494.0977,4148.573,1657.2264,1808.0914,728.12115,2069.6113,2603.6392,477.7945,836.0841,995.43085,2014.8507,131.52538,3525.7388,333.48373
Papua New Guinea,2002,9744.957,2836.5557,2651.4749,627.00006,2366.976,401.8831,1526.6694,4232.2554,1646.5182,1813.0211,908.12384,2178.1824,2666.7686,553.8352,852.57764,1015.5506,2093.23,134.68529,3686.2458,289.33768
Papua New Guinea,2003,9947.232,2868.5154,2694.7576,632.1095,2413.0151,414.00778,1550.2527,4231.7715,1603.4706,1799.9285,1072.6296,2439.3892,2730.7185,622.4882,845.5659,1022.421,2078.6829,136.07155,3624.5046,287.99698
Papua New Guinea,2004,10144.197,2899.5037,2734.7,639.23584,2458.699,425.9404,1586.0336,4272.354,1601.5912,1802.6483,1217.8817,2832.5586,2796.7837,648.3012,861.8372,1041.428,2110.2383,138.45412,3461.3103,295.29773
Papua New Guinea,2005,10406.848,2971.7498,2801.9954,655.7102,2530.7822,441.26257,1657.4005,4407.6875,1647.7301,1829.0118,1302.5543,3072.9966,2865.3804,693.2142,912.4475,1092.6674,2220.109,143.71309,2999.6096,310.08475
Papua New Guinea,2006,10724.66,3048.6343,2877.2654,673.5201,2617.87,457.2299,1724.3346,4509.3667,1681.5107,1854.7103,1200.2789,3406.7515,2920.4285,737.4013,962.03,1142.7031,2337.055,148.59564,2631.8508,321.6073
Papua New Guinea,2007,11415.004,3226.244,2955.1938,695.4498,2729.232,477.63843,1795.0745,4563.341,1700.1362,1898.4271,984.7938,3164.523,2969.4402,832.68274,983.93524,1226.3159,2615.078,156.60866,2668.0679,332.86603
Papua New Guinea,2008,11831.424,3327.35,3014.8633,710.66486,2809.1443,493.235,1824.7804,4544.1167,1698.1981,1927.0624,821.4813,3272.4487,2995.5935,886.9224,975.834,1272.286,2513.6868,161.14497,2797.5269,351.24557
Papua New Guinea,2009,12159.964,3395.4338,3050.887,716.6617,2867.352,504.8199,1843.4559,4527.4014,1827.7229,1929.823,794.90857,3786.7263,2998.5945,916.1562,962.8069,1310.3267,2558.281,162.11823,2789.6245,364.648
Papua New Guinea,2010,13107.258,3665.4346,3164.3774,751.5289,3049.4006,530.5195,1918.3665,4604.521,1842.4587,2027.1489,881.97107,2816.798,3040.0444,1001.4824,976.0204,1405.0941,2682.3408,175.17651,3004.0205,412.61975
Papua New Guinea,2011,13796.184,3870.0574,3281.3904,782.1222,3216.169,552.52313,1961.1785,4621.2705,1778.4257,2112.731,945.37115,2165.7515,3069.6675,1075.802,949.03125,1517.9198,2788.0205,187.40051,3325.0066,460.6042
Papua New Guinea,2012,14253.546,4011.9446,3367.6404,798.65015,3319.5544,567.7533,1990.4689,4630.4834,1797.628,2145.0115,948.24457,2138.4539,3097.6196,1064.1495,931.26685,1780.2765,2915.7822,194.88913,3390.8826,573.41943
Papua New Guinea,2013,14259.197,4020.0242,3412.2336,801.3767,3358.8303,572.04517,1975.8226,4583.085,1780.9983,2114.04,890.6867,2941.6814,3086.6482,1005.8123,896.1123,1512.7618,2818.2446,194.21468,3335.1294,496.6302
Papua New Guinea,2014,14865.077,4206.053,3510.6365,822.0001,3488.8057,590.99927,1994.0308,4584.1187,1768.4233,2134.001,861.39667,2625.5552,3105.9866,1030.3474,866.64307,1568.8717,2865.4653,202.52194,3582.2607,509.87173
Papua New Guinea,2015,15789.8545,4522.518,3650.337,853.5217,3665.7212,618.2037,2042.795,4662.8647,1787.4445,2191.7095,883.2483,1878.6212,3143.898,1094.7638,904.0195,1664.103,2980.4893,215.47614,3740.477,537.3829
Papua New Guinea,2016,15775.202,4569.5703,3749.9565,865.10925,3747.1616,630.7814,2044.8914,4650.001,1787.6986,2176.6072,914.9834,2564.2124,3132.9421,1038.9082,842.3359,1661.2352,2960.5872,215.57867,3560.9495,531.0763
Papua New Guinea,2017,16265.482,4760.3076,3895.9248,892.0703,3890.2974,654.3934,2089.9148,4701.221,1784.2693,2208.8574,979.9063,2561.8237,3156.9492,1041.9525,843.3045,1696.1973,3006.0627,222.12906,3488.303,539.4169
Papua New Guinea,2018,16727.94,4909.9346,4032.864,916.1334,4027.472,673.28485,2116.2583,4701.287,1767.0831,2246.7566,1021.15955,2614.23,3180.9126,1042.9325,827.04675,1723.339,3211.8225,226.45168,3572.2642,546.6599
Papua New Guinea,2019,17671.16,5273.1553,4251.6978,965.9157,4278.016,710.6394,2200.4185,4780.383,1796.2217,2332.8474,1102.277,1717.2959,3239.2964,1101.9326,844.65186,1824.5004,3198.4697,241.45656,3779.141,575.5257
Papua New Guinea,2020,17488.977,5399.113,4241.957,989.8576,4427.721,738.3608,2386.331,4932.67,1900.3425,2293.9634,1164.3463,2703.6504,3411.4185,1020.0459,937.0567,1829.9036,3277.7126,244.06493,3212.142,585.0077
Papua New Guinea,2021,17166.678,5659.4443,4496.019,1070.7982,4888.2827,800.70404,2633.7673,7994.814,2070.5828,2352.567,1301.58,2154.588,3529.563,1056.7404,1066.7018,1853.19,3549.1658,273.62808,3123.479,705.6291
Papua New Guinea,2022,19065.836,6370.8066,4910.301,1102.9701,5074.568,850.6069,2576.1687,5307.226,1939.524,2319.7275,1280.515,2441.0413,3435.2239,1005.4827,947.7686,1923.6292,3404.7837,275.01535,4224.243,726.2587
Papua New Guinea,2023,20024.416,6765.6035,5018.2207,1090.8252,5157.6836,874.4899,2601.8816,5391.964,1870.4154,2271.7634,1264.8737,2707.9473,3366.9958,964.2408,922.1719,1969.0378,3447.2954,272.06064,4261.2217,615.46313
South Africa,1980,41313.746,21503.074,10218.738,7527.383,10737.362,2883.8872,5849.779,27484.047,36306.027,25481.73,3.4360049,75.51945,18997.754,1329.2987,3574.3472,14728.202,10957.551,4493.1367,12718.412,12725.624
South Africa,1981,41261.37,21717.744,10284.338,7566.8906,10927.619,2979.2917,5945.1694,27444.598,35217.152,24920.426,6.725125,92.7178,18861.008,1299.5337,3562.0322,14786.777,11423.333,4610.508,12634.428,12839.473
South Africa,1982,41663.24,22099.18,10118.476,7494.8076,10977.269,3036.6008,6031.922,27196.611,34226.613,24135.424,13.109025,92.737366,18673.299,1273.3816,3550.9622,14644.548,11101.563,4691.0923,12649.528,13147.864
South Africa,1983,41514.47,22151.389,10073.816,7457.2734,11057.457,3096.947,6100.0576,27069.355,32974.742,23482.832,25.430914,147.39124,18469.188,1233.3663,3535.8455,14462.919,10956.698,4748.365,12557.022,13420.65
South Africa,1984,41346.254,22180.049,10074.6,7403.5176,11140.283,3167.9707,6181.9375,26709.184,31863.434,22547.2,49.33902,191.9046,18171.186,1178.8683,3535.8467,14408.661,10230.263,4785.376,12481.438,13354.746
South Africa,1985,41301.688,22324.818,10132.807,7346.8022,11150.174,3203.3125,6271.983,26216.832,30650.387,21548.418,94.76204,255.077,17862.164,1081.451,3541.8813,14206.666,10813.426,4830.1924,12415.123,13485.925
South Africa,1986,41016.48,22458.152,10168.848,7358.825,11355.509,3360.2583,6333.176,25934.537,29441.26,20767.94,185.30714,248.45183,17458.053,1023.29645,3541.7285,13991.258,11888.233,4867.4775,12283.063,13435.296
South Africa,1987,41178.71,22773.418,10203.124,7331.394,11567.33,3489.4949,6368.6353,25411.814,27815.639,19920.67,359.3152,336.91953,16894.664,961.2564,3470.9153,13751.662,10526.028,4867.6567,12064.752,13235.621
South Africa,1988,41876.16,23409.006,10289.993,7316.0503,11722.116,3629.3704,6416.064,24727.096,25777.705,18984.361,686.76917,336.87033,16176.403,873.1808,3370.6077,13548.735,9933.549,4936.1816,11708.059,13205.087
South Africa,1989,42364.387,23925.63,10535.414,7414.05,12145.369,3805.9922,6422.036,24105.818,23970.625,18310.725,1315.3518,277.9614,15363.968,822.5226,3236.1035,13394.93,8845.398,5041.4517,11301.578,13421.028
